time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2025-01-22 09:30:00-05:00,SMACrossoverStrategy,b8b76ebdc0e14ac1bf5340a6476557ca,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-22 09:30:00-05:00,SMACrossoverStrategy,4e8b8f82ef1f4b0294ef018a8f01c74d,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-22 09:30:00-05:00,SMACrossoverStrategy,b8b76ebdc0e14ac1bf5340a6476557ca,MSFT,buy,market,fill,1,gtc,0.0,1,stock,437.55999755859375,225.0,0.0
2025-01-22 09:30:00-05:00,SMACrossoverStrategy,4e8b8f82ef1f4b0294ef018a8f01c74d,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,199.05999755859375,488.0,0.0
2025-01-28 09:30:00-05:00,SMACrossoverStrategy,315835a9307d48248ac7f620659536e8,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-28 09:30:00-05:00,SMACrossoverStrategy,315835a9307d48248ac7f620659536e8,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,192.75,488.0,0.0
2025-01-31 09:30:00-05:00,SMACrossoverStrategy,85ecf391853640968555391e177de632,MSFT,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-31 09:30:00-05:00,SMACrossoverStrategy,85ecf391853640968555391e177de632,MSFT,sell,market,fill,1,gtc,0.0,1,stock,418.9800109863281,225.0,0.0
2025-01-31 09:31:00-05:00,SMACrossoverStrategy,57449c5499ea4c5583e7ca3b1b39bb45,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-31 09:31:00-05:00,SMACrossoverStrategy,8efccda9dc53497faf0858ad1e751a1f,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-01-31 09:31:00-05:00,SMACrossoverStrategy,57449c5499ea4c5583e7ca3b1b39bb45,AAPL,buy,market,fill,1,gtc,0.0,1,stock,247.19000244140625,376.0,0.0
2025-01-31 09:31:00-05:00,SMACrossoverStrategy,8efccda9dc53497faf0858ad1e751a1f,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,202.0,445.0,0.0
2025-01-31 09:32:00-05:00,SMACrossoverStrategy,35bad77179c54e59a470eca7004c073f,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-31 09:32:00-05:00,SMACrossoverStrategy,35bad77179c54e59a470eca7004c073f,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,202.0,445.0,0.0
2025-02-04 09:30:00-05:00,SMACrossoverStrategy,a8c4ec85033646a8a89bf9f28649395e,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-02-04 09:30:00-05:00,SMACrossoverStrategy,a8c4ec85033646a8a89bf9f28649395e,AAPL,sell,market,fill,1,gtc,0.0,1,stock,227.25,376.0,0.0
2025-02-04 09:31:00-05:00,SMACrossoverStrategy,43899a9522734e57a3616a261e835a7c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-04 09:31:00-05:00,SMACrossoverStrategy,0002585964794cc59d1b21d392d71a77,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-04 09:31:00-05:00,SMACrossoverStrategy,43899a9522734e57a3616a261e835a7c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,227.25,352.0,0.0
2025-02-04 09:31:00-05:00,SMACrossoverStrategy,0002585964794cc59d1b21d392d71a77,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,203.38999938964844,407.0,0.0
2025-02-06 09:30:00-05:00,SMACrossoverStrategy,89d2644c4355418c82188db1ad413bee,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-02-06 09:30:00-05:00,SMACrossoverStrategy,89d2644c4355418c82188db1ad413bee,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,189.5,407.0,0.0
2025-02-07 09:30:00-05:00,SMACrossoverStrategy,4f241fb45f984a8cb8c39cc54f8d2dd4,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-02-07 09:30:00-05:00,SMACrossoverStrategy,4f241fb45f984a8cb8c39cc54f8d2dd4,AAPL,sell,market,fill,1,gtc,0.0,1,stock,232.60000610351562,352.0,0.0
2025-02-07 09:31:00-05:00,SMACrossoverStrategy,5c0a8c7f096e436c9b31896c5a23b923,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-07 09:31:00-05:00,SMACrossoverStrategy,5c0a8c7f096e436c9b31896c5a23b923,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,191.0500030517578,408.0,0.0
2025-02-07 09:32:00-05:00,SMACrossoverStrategy,998e628b5b42471586733539dbac391b,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2025-02-07 09:32:00-05:00,SMACrossoverStrategy,998e628b5b42471586733539dbac391b,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,191.0500030517578,408.0,0.0
